field_1,序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別,﻿序號
"1072","1073.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","4","7","20",臺中市,大里區,"0","1","0","5.0","3.0","6.0","30.0","13.0","9.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","8.0","4.0","1.0",F01,"7.0","1.0","7.0","21.0","9.0","14.0",,"51.0","51.0","2.0","13.0","4.0",218200.429728646,2667982.77582236,"2.0",
"1337","1338.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","4","16","50",臺中市,大雅區,"0","1","0","5.0","3.0","6.0","30.0","13.0","9.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","30.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","14.0",,"84.0","84.0","1.0","13.0","4.0",213857.539575425,2679202.41752515,"2.0",
"1343","1344.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","4","17","5",臺中市,豐原區,"0","2","0","5.0","2.0","6.0","50.0","4.0","1.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","4.0","2.0","15.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"12.0","12.0","1.0","12.0","4.0",222082.768219118,2682351.68043768,"2.0",
"1412","1413.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","4","18","43",臺中市,大里區,"0","1","0","5.0","1.0","6.0","50.0","4.0","1.0","1.0","4.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","1.0","16.0","2.0","9.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","12.0",,"11.0","11.0","1.0","4.0","4.0",217879.11318454,2667262.17843294,"2.0",
"1533","1534.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","7","36",臺中市,后里區,"0","2","0","6.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","4.0","5.0","1.0","3.0","2.0","8.0","1.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0","14.0","84.0","84.0","1.0","6.0","4.0",222693.357348816,2688917.1094756,"2.0",
"1567","1568.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","8","27",臺中市,豐原區,"0","1","0","7.0","2.0","6.0","30.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","16.0",,"84.0","84.0","1.0","12.0","4.0",221513.716037824,2685643.37377273,"2.0",
"1670","1671.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","12","44",臺中市,大甲區,"0","1","0","6.0","3.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","5.0","5.0","5.0","1.0","16.0","2.0","9.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","12.0",,"11.0","11.0","1.0","2.0","1.0",211376.416596141,2692799.97854529,"2.0",
"1817","1818.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","17","50",臺中市,南區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","2.0","30.0","2.0","9.0","6.0","1.0",F01,"7.0","15.0","7.0","21.0","2.0","11.0",,"84.0","84.0","1.0","12.0","4.0",217064.262881901,2669473.18085323,"2.0",
"1832","1833.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","18","13",臺中市,豐原區,"0","1","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","12.0","4.0",221612.979290455,2684465.43327515,"2.0",
"1870","1871.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","20","13",臺中市,沙鹿區,"0","1","0","7.0","3.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"6.0","6.0","1.0","4.0","4.0",207361.943853012,2678604.7758216,"2.0",
"1896","1897.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","5","22","52",臺中市,梧棲區,"0","1","0","7.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","4.0","5.0","2.0","12.0","2.0","8.0","4.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","12.0",,"58.0","58.0","1.0","12.0","4.0",203510.64376881,2682907.37190651,"2.0",
"2160","2161.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","6","17","10",臺中市,北區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"13.0",,,,,F01,,,"7.0",,"2.0",,,"7.0","7.0","1.0","3.0","1.0",120.68669,24.160295,"3.0",
"2264","2265.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","6","21","35",臺中市,北屯區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","5.0","2.0","18.0","2.0","9.0","1.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"85.0","85.0","1.0","11.0","4.0",226517.172960691,2676961.78933844,"2.0",
"2268","2269.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","6","21","54",臺中市,豐原區,"0","1","0","6.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F02,"7.0","9.0","7.0","21.0","7.0","11.0",,"84.0","84.0","1.0","6.0","4.0",222606.10383838,2682959.68407598,"2.0",
"2397","2398.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","10","42",臺中市,北區,"0","1","0","7.0","2.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","5.0","4.0","5.0","2.0","18.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","13.0","4.0",217684.642652708,2672189.14448804,"2.0",
"2459","2460.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","13","20",臺中市,南屯區,"0","1","0","7.0","1.0","6.0","30.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","4.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"85.0","85.0","1.0","6.0","4.0",213417.443059476,2670325.56126354,"2.0",
"2506","2507.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","15","22",臺中市,南區,"0","0","0","7.0",,,"40.0",,,,,,,,,,,,,,"12.0",,,,,F01,,,"7.0",,"9.0",,,"84.0","84.0","1.0","4.0","4.0",120.663963,24.113418,"3.0",
"2610","2611.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","18","40",臺中市,豐原區,"0","2","0","7.0","2.0","6.0","30.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","4.0","1.0",F01,"7.0","11.0","7.0","21.0","2.0","12.0",,"48.0","48.0","1.0","13.0","4.0",220344.183241069,2681585.04277291,"2.0",
"2612","2613.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","18","45",臺中市,梧棲區,"0","2","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","4.0","5.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","15.0",,"85.0","85.0","1.0","6.0","4.0",203275.046998336,2682442.86812695,"2.0",
"2615","2616.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","18","51",臺中市,太平區,"0","2","0","7.0","1.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","5.0","4.0","5.0","2.0","16.0","2.0","9.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","11.0",,"48.0","48.0","1.0","3.0","4.0",221847.555599117,2672296.69779055,"2.0",
"2642","2643.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","21","0",臺中市,大里區,"0","0","0","6.0",,,"40.0",,,,,,,,,,,,,,"17.0",,,,,F01,,,"7.0",,"2.0",,,"14.0","14.0","1.0","13.0","4.0",120.713625,24.084459,"3.0",
"2643","2644.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","21","15",臺中市,南屯區,"0","1","0","7.0","3.0","6.0","50.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","4.0","1.0","2.0","18.0","2.0","9.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","14.0",,"59.0","59.0","1.0","12.0","4.0",211655.615155257,2671048.97432829,"2.0",
"2653","2654.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","7","21","47",臺中市,西區,"0","2","0","7.0","1.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","5.0","4.0",F01,"7.0","8.0","7.0","21.0","2.0","11.0",,"40.0","40.0","1.0","12.0","4.0",215110.574326109,2672355.14846913,"2.0",
"2703","2704.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","7","20",臺中市,霧峰區,"0","2","0","7.0","2.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","2.0","1.0",F01,"7.0","1.0","7.0","21.0","2.0","12.0",,"51.0","51.0","1.0","6.0","4.0",218773.050055532,2662369.58263286,"2.0",
"2864","2865.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","12","10",臺中市,大里區,"0","1","0","7.0","2.0","6.0","30.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","7.0","5.0","4.0",F01,"7.0","1.0","7.0","21.0","2.0","11.0",,"51.0","51.0","1.0","12.0","4.0",219501.915714273,2665485.28357701,"2.0",
"2866","2867.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","12","12",臺中市,豐原區,"0","2","0","7.0","3.0","6.0","30.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","4.0","4.0",F01,"7.0","6.0","7.0","21.0","2.0","11.0",,"14.0","14.0","1.0","3.0","4.0",221011.479528162,2681628.40596282,"2.0",
"2984","2985.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","16","50",臺中市,北區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","2.0","6.0","6.0","4.0","4.0","2.0","4.0","5.0","2.0","18.0","2.0","9.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","11.0",,"84.0","84.0","1.0","12.0","4.0",217887.766483518,2671641.2422268,"2.0",
"3045","3046.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","18","24",臺中市,西區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"1.0",,,"21.0","21.0","1.0","13.0","4.0",120.659687,24.157317,"3.0",
"3100","3101.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","8","20","50",臺中市,沙鹿區,"0","1","0","7.0","1.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","12.0",,"14.0","14.0","1.0","6.0","4.0",205916.606282435,2682034.69156664,"2.0",
"3140","3141.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","9","1","19",臺中市,東區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","15.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"21.0","21.0","1.0","12.0","4.0",219659.580955894,2670441.02513423,"2.0",
"3257","3258.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","9","11","50",臺中市,清水區,"0","0","0","7.0",,,"40.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"2.0",,,"58.0","58.0","1.0","12.0","4.0",120.572105,24.261752,"3.0",
"3330","3331.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","9","15","4",臺中市,豐原區,"0","1","0","7.0","3.0","6.0","30.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","8.0","6.0","1.0",F01,"7.0","5.0","7.0","21.0","9.0","11.0",,"14.0","14.0","1.0","13.0","4.0",222542.589153757,2683614.79485313,"2.0",
"3360","3361.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","9","16","5",臺中市,梧棲區,"0","2","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","1.0","12.0","2.0","1.0","4.0","1.0",F02,"7.0","6.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",202083.138077829,2679643.54690223,"2.0",
"3687","3688.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","10","17","30",臺中市,潭子區,"0","1","0","6.0","3.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","4.0","2.0","17.0","2.0","8.0","1.0","1.0",F02,"7.0","6.0","7.0","21.0","2.0","12.0",,"48.0","48.0","1.0","13.0","4.0",220611.633360537,2680486.93370335,"2.0",
"3756","3757.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","10","20","46",臺中市,烏日區,"0","1","0","7.0","1.0","6.0","70.0","13.0","14.0","1.0","5.0","1.0","6.0","6.0","4.0","4.0","1.0","4.0","4.0","1.0","13.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"7.0","7.0","1.0","6.0","4.0",209667.542134672,2667285.25721364,"2.0",
"3889","3890.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","11","9","25",臺中市,沙鹿區,"0","1","0","7.0","2.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","4.0","4.0","2.0","18.0","2.0","9.0","4.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"59.0","59.0","1.0","3.0","4.0",205403.030420625,2681026.11258995,"2.0",
"3913","3914.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","11","10","20",臺中市,北屯區,"0","1","0","7.0","2.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","5.0","4.0",F02,"7.0","6.0","7.0","21.0","2.0","14.0",,"20.0","20.0","1.0","12.0","4.0",217727.986415244,2674003.92619892,"2.0",
"4423","4424.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","12","12","40",臺中市,西屯區,"0","1","0","7.0","2.0","6.0","0.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","1.0","3.0","5.0","2.0","13.0","2.0","9.0","5.0","4.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"59.0","59.0","1.0","13.0","4.0",215240.556210726,2673939.01962846,"2.0",
"4476","4477.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","12","14","56",臺中市,太平區,"0","1","0","7.0","3.0","6.0","30.0","11.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","11.0","2.0","8.0","6.0","1.0",F01,"7.0","5.0","7.0","21.0","2.0","14.0",,"41.0","41.0","1.0","2.0","4.0",222156.084182803,2668923.96099665,"2.0",
"4698","4699.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","13","7","42",臺中市,西屯區,"0","2","0","5.0","2.0","6.0","50.0","3.0","1.0","1.0","4.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"11.0","11.0","1.0","13.0","4.0",213279.582896054,2675190.24012521,"2.0",
"4701","4702.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","13","7","47",臺中市,太平區,"0","2","0","6.0","3.0","6.0","30.0","4.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","2.0","15.0","2.0","9.0","2.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"12.0","12.0","1.0","12.0","4.0",220490.158043799,2671827.53926279,"2.0",
"4823","4824.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","13","12","46",臺中市,豐原區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"17.0",,,,,F01,,,"1.0",,"1.0",,,"59.0","59.0","1.0","12.0","1.0",120.724491,24.244027,"3.0",
"4852","4853.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","13","14","24",臺中市,中區,"0","1","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","12.0","2.0","9.0","5.0","4.0",F01,"7.0","8.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",217528.815368049,2670299.64438348,"2.0",
"5018","5019.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","6","56",臺中市,烏日區,"0","0","0","7.0",,,"30.0",,,,,,,,,,,,,,"16.0",,,,,F01,,,"7.0",,"2.0",,,"21.0","21.0","1.0","6.0","4.0",120.633383,24.098297,"3.0",
"5032","5033.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","7","27",臺中市,西區,"0","2","0","7.0","3.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","3.0","4.0","3.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","15.0","7.0","21.0","2.0","12.0",,"84.0","84.0","1.0","12.0","4.0",215325.802725886,2672520.52788288,"2.0",
"5120","5121.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","10","21",臺中市,南區,"0","1","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","3.0","5.0","5.0","2.0","18.0","2.0","9.0","5.0","4.0",F02,"7.0","9.0","7.0","21.0","2.0","15.0",,"84.0","84.0","1.0","6.0","4.0",214081.504033285,2667292.61438419,"2.0",
"5167","5168.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","12","16",臺中市,北區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"2.0",,,"84.0","84.0","1.0","12.0","4.0",120.691386,24.158585,"4.0",
"5168","5169.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","12","25",臺中市,太平區,"0","1","0","7.0","2.0","6.0","50.0","3.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","2.0","5.0","2.0","25.0","2.0","9.0","4.0","4.0",F01,"7.0","5.0","7.0","21.0","2.0","11.0","12.0","84.0","84.0","1.0","12.0","4.0",220505.363626256,2671809.23386373,"2.0",
"5274","5275.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","16","36",臺中市,豐原區,"0","2","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","5.0","5.0","2.0","13.0","2.0","9.0","4.0","1.0",F01,"7.0","11.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","13.0","4.0",221436.5211053,2682505.14193303,"2.0",
"5363","5364.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","14","18","30",臺中市,太平區,"0","1","0","7.0","3.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","2.0","5.0","1.0","13.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"7.0","7.0","1.0","12.0","4.0",221303.028021635,2669853.29866821,"2.0",
"5590","5591.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","15","11","56",臺中市,西屯區,"0","2","0","7.0","2.0","6.0","40.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","5.0","5.0","4.0","2.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","12.0","1.0",214357.840783869,2673275.36610477,"2.0",
"5663","5664.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","15","15","31",臺中市,梧棲區,"0","0","0","7.0",,,"40.0",,,,,,,,,,,,,,"13.0",,,,,F01,,,"1.0",,"1.0",,,"59.0","59.0","1.0","6.0","4.0",120.554708,24.243544,"3.0",
"5686","5687.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","15","16","25",臺中市,沙鹿區,"0","1","0","7.0","2.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","5.0","4.0","2.0","18.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",207453.061635667,2677487.66786746,"2.0",
"5706","5707.0","66000",387130000C,(04)23274275,(04)23288582,"2025","8","15","16","59",臺中市,后里區,"0","1","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","1.0","30.0","3.0","10.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","16.0",,"70.0","70.0","1.0","2.0","4.0",120.711797,24.307063,"2.0",
